Abk;Name
ADS;adidas AG
AIR;Airbus SE
ALV;Allianz SE
BAS;BASF SE
BAYN;Bayer AG
BEI;Beiersdorf AG
BMW;BMW AG St
BNR;Brenntag SE
CBK;Commerzbank AG
CON;Continental AG
DB1;Deutsche Bîrse AG
DBK;Deutsche Bank AG
DHL;Deutsche Post AG
DTE;Deutsche Telekom AG
DTG;Daimler Truck Holding AG
ENR;Siemens Energy AG
EOAN;E.ON SE
FME;Fresenius Medical Care AG
FRE;Fresenius SE & Co. KGaA
HEI;Heidelberg Materials AG
HEN3;Henkel AG & Co. KGaA Vz
HNR1;Hannover RÅck SE
IFX;Infineon Technologies AG
MBG;Mercedes Benz Group AG 
MRK;Merck KGaA
MTX;MTU Aero Engines AG
MUV2;MÅnchener RÅck AG
P911;Porsche AG Vz
PAH3;Porsche Automobil Holding SE
QIA;Qiagen N.V.
RHM;Rheinmetall AG
RWE;RWE AG St
SAP;SAP SE
SHL;Siemens Healthineers AG
SIE;Siemens AG
SRT3;Sartorius AG Vz
SY1;Symrise AG
VNA;Vonovia SE
VOW3;Volkswagen AG Vz
ZAL;Zalando SE (DE)
